date,high_temp_f,low_temp_f,precipitation_inches,precip_chance_pct,wind_speed_mph,conditions
2024-02-23,45.7,40.7,0.93,95,14.8,Rainy
2024-02-24,59.6,45.3,0.0,4,8.8,Sunny
2024-02-25,48.0,35.3,0.03,6,8.6,Drizzle
2024-02-26,61.9,40.0,0.0,5,9.7,Partly Cloudy
2024-02-27,58.0,34.8,0.0,9,11.4,Partly Cloudy
2024-02-28,79.3,37.4,0.0,3,12.0,Partly Cloudy
2024-02-29,63.5,27.5,0.0,2,14.8,Partly Cloudy
2024-03-01,68.1,48.7,0.0,11,9.5,Partly Cloudy
2024-03-02,58.9,44.4,0.12,24,9.6,Rain Showers
2024-03-03,60.9,47.2,0.36,72,14.2,Rain Showers
2024-03-04,67.2,47.1,0.06,12,13.4,Drizzle
2024-03-05,70.2,46.1,0.0,7,15.3,Sunny
2024-03-06,60.9,43.9,0.34,68,14.7,Rain Showers
2024-03-07,59.0,47.0,0.0,12,4.1,Partly Cloudy
2024-03-08,64.5,41.8,0.71,95,14.1,Rainy
2024-03-09,63.1,39.9,0.0,4,17.2,Overcast
2024-03-10,72.5,44.0,0.0,4,9.1,Sunny
2024-03-11,69.4,46.1,0.2,40,11.7,Rain Showers
2024-03-12,60.3,47.9,0.0,11,11.1,Sunny
2024-03-13,71.2,45.5,0.0,8,7.2,Overcast
2024-03-14,62.3,45.8,0.03,6,14.1,Drizzle
2024-03-15,73.1,40.6,0.0,14,9.5,Overcast
2024-03-16,74.5,31.3,0.0,2,10.4,Sunny
2024-03-17,64.9,38.0,0.19,38,12.5,Rain Showers
2024-03-18,59.2,45.6,0.0,0,16.1,Sunny
2024-03-19,65.4,38.8,0.0,14,11.6,Overcast
2024-03-20,67.7,43.3,0.0,2,14.5,Sunny
2024-03-21,61.7,44.1,0.07,14,8.8,Drizzle
2024-03-22,75.7,44.8,0.0,5,12.1,Sunny
2024-03-23,80.3,39.0,0.06,12,5.1,Drizzle
2024-03-24,61.3,39.2,0.0,5,12.0,Overcast
2024-03-25,77.1,35.5,0.04,8,16.6,Drizzle
2024-03-26,52.9,43.7,0.16,32,14.6,Rain Showers
2024-03-27,64.2,50.6,0.0,10,9.7,Sunny
2024-03-28,75.1,44.4,0.0,0,12.3,Sunny
2024-03-29,67.4,52.6,0.0,9,16.3,Overcast
2024-03-30,69.2,40.7,0.0,2,13.4,Sunny
2024-03-31,58.9,39.6,0.0,5,11.5,Overcast
2024-04-01,70.0,51.6,0.0,4,14.7,Partly Cloudy
2024-04-02,69.1,63.7,0.0,6,13.4,Overcast
2024-04-03,76.7,56.3,0.0,14,4.7,Sunny
2024-04-04,75.5,59.6,0.0,0,10.7,Overcast
2024-04-05,59.8,50.9,0.18,36,12.4,Rain Showers
2024-04-06,73.0,53.0,0.0,8,9.6,Partly Cloudy
2024-04-07,72.5,62.7,0.0,3,6.7,Partly Cloudy
2024-04-08,69.4,45.7,0.0,9,7.0,Partly Cloudy
2024-04-09,76.5,54.1,0.0,5,8.4,Sunny
2024-04-10,63.0,50.0,0.0,8,9.7,Partly Cloudy
2024-04-11,73.3,60.8,0.0,12,9.4,Sunny
2024-04-12,74.3,47.1,0.0,11,9.9,Partly Cloudy
2024-04-13,73.4,47.9,0.0,7,3.4,Sunny
2024-04-14,75.8,47.1,0.0,8,6.5,Partly Cloudy
2024-04-15,61.4,47.1,0.0,5,11.7,Overcast
2024-04-16,67.6,49.2,0.0,12,13.2,Partly Cloudy
2024-04-17,77.6,63.9,0.0,7,8.1,Partly Cloudy
2024-04-18,65.7,50.0,0.14,28,12.8,Rain Showers
2024-04-19,86.4,44.0,0.05,10,11.7,Drizzle
2024-04-20,68.4,48.6,0.1,20,10.1,Drizzle
2024-04-21,67.2,52.4,0.15,30,9.8,Rain Showers
2024-04-22,69.0,54.8,0.33,66,10.3,Rain Showers
2024-04-23,78.3,42.7,0.0,5,11.6,Sunny
2024-04-24,66.6,54.2,0.0,5,13.0,Partly Cloudy
2024-04-25,78.3,45.3,0.0,0,10.8,Partly Cloudy
2024-04-26,67.8,40.3,0.0,3,11.9,Partly Cloudy
2024-04-27,65.9,55.2,0.0,7,6.6,Partly Cloudy
2024-04-28,82.0,53.3,0.57,95,8.3,Rainy
2024-04-29,83.5,48.5,0.0,11,6.3,Partly Cloudy
2024-04-30,72.2,51.6,0.0,4,9.0,Sunny
2024-05-01,77.8,63.3,0.0,9,4.6,Sunny
2024-05-02,88.4,58.0,0.0,6,2.9,Sunny
2024-05-03,77.5,70.0,0.0,1,3.8,Sunny
2024-05-04,86.2,60.5,0.0,7,9.0,Sunny
2024-05-05,84.0,55.6,0.0,13,10.0,Partly Cloudy
2024-05-06,81.3,61.2,0.11,22,11.0,Rain Showers
2024-05-07,74.0,60.4,0.0,0,7.1,Overcast
2024-05-08,80.6,55.3,0.0,7,8.7,Partly Cloudy
2024-05-09,97.5,57.9,0.0,14,6.8,Partly Cloudy
2024-05-10,89.3,70.0,0.0,6,5.0,Partly Cloudy
2024-05-11,75.2,63.3,0.26,52,8.3,Rain Showers
2024-05-12,97.1,60.6,0.62,95,8.8,Rainy
2024-05-13,85.1,62.4,0.0,11,9.2,Sunny
2024-05-14,75.6,59.1,0.03,6,7.5,Drizzle
2024-05-15,76.7,58.0,0.0,5,7.2,Sunny
2024-05-16,97.8,62.6,0.0,4,11.7,Sunny
2024-05-17,75.9,55.4,0.0,5,9.2,Overcast
2024-05-18,71.0,53.5,0.0,2,7.7,Partly Cloudy
2024-05-19,69.5,62.4,0.01,2,3.9,Drizzle
2024-05-20,87.3,56.5,0.07,14,8.7,Drizzle
2024-05-21,69.6,59.8,0.0,14,9.8,Overcast
2024-05-22,80.0,60.8,0.0,2,6.2,Sunny
2024-05-23,84.7,57.8,0.0,7,2.1,Sunny
2024-05-24,68.4,63.400000000000006,0.0,13,3.9,Partly Cloudy
2024-05-25,99.6,54.1,0.59,95,9.1,Rainy
2024-05-26,79.0,62.6,0.31,62,7.4,Rain Showers
2024-05-27,79.5,62.4,0.0,6,6.2,Sunny
2024-05-28,74.6,56.9,0.0,2,10.9,Partly Cloudy
2024-05-29,66.8,53.9,0.08,16,10.6,Drizzle
2024-05-30,85.0,62.2,0.0,14,5.3,Sunny
2024-05-31,84.3,57.0,0.0,4,7.7,Partly Cloudy
2024-06-01,75.3,70.3,0.0,1,3.8,Overcast
2024-06-02,81.3,66.4,0.0,13,7.2,Sunny
2024-06-03,93.6,66.2,1.1,95,6.4,Rainy
2024-06-04,88.8,69.4,0.0,1,7.6,Sunny
2024-06-05,102.1,71.4,0.05,10,3.6,Drizzle
2024-06-06,87.7,59.9,0.0,9,9.2,Partly Cloudy
2024-06-07,83.1,69.6,0.09,18,10.2,Drizzle
2024-06-08,80.6,71.6,0.0,0,3.5,Partly Cloudy
2024-06-09,74.1,61.6,0.0,2,9.1,Sunny
2024-06-10,81.9,68.7,0.54,95,6.8,Rainy
2024-06-11,92.8,67.4,0.0,7,7.1,Partly Cloudy
2024-06-12,90.9,68.5,0.01,2,8.0,Drizzle
2024-06-13,91.3,60.4,0.21,42,2.4,Rain Showers
2024-06-14,93.9,66.2,0.39,78,8.2,Rain Showers
2024-06-15,100.8,67.8,0.0,11,9.0,Sunny
2024-06-16,90.7,66.5,0.0,0,5.5,Overcast
2024-06-17,86.5,71.1,0.23,46,8.6,Rain Showers
2024-06-18,91.3,70.8,0.0,8,10.7,Overcast
2024-06-19,88.9,71.7,0.0,6,6.6,Sunny
2024-06-20,87.8,58.2,0.39,78,6.7,Rain Showers
2024-06-21,85.7,67.2,0.0,6,11.6,Overcast
2024-06-22,68.0,63.0,0.04,8,6.1,Drizzle
2024-06-23,88.6,65.6,0.39,78,6.9,Rain Showers
2024-06-24,83.9,75.2,0.29,57,8.1,Rain Showers
2024-06-25,88.9,72.4,0.01,2,7.7,Drizzle
2024-06-26,94.5,65.4,0.0,7,11.7,Partly Cloudy
2024-06-27,82.3,60.4,0.12,24,12.7,Rain Showers
2024-06-28,88.2,68.0,0.57,95,7.1,Rainy
2024-06-29,91.7,76.1,0.72,95,4.6,Rainy
2024-06-30,85.1,70.8,0.0,7,2.9,Overcast
2024-07-01,106.2,68.7,1.42,95,10.5,Rainy
2024-07-02,101.3,64.2,0.07,14,7.2,Drizzle
2024-07-03,93.9,68.9,0.02,4,5.9,Drizzle
2024-07-04,81.8,76.0,0.51,95,10.1,Rainy
2024-07-05,85.1,68.5,0.0,8,4.5,Partly Cloudy
2024-07-06,91.2,64.5,0.0,1,4.9,Sunny
2024-07-07,92.0,73.7,0.0,14,6.5,Partly Cloudy
2024-07-08,84.4,72.2,0.0,11,5.1,Sunny
2024-07-09,65.6,60.599999999999994,0.0,10,11.0,Overcast
2024-07-10,82.1,74.0,0.0,11,8.9,Overcast
2024-07-11,95.7,74.5,0.0,6,11.1,Partly Cloudy
2024-07-12,94.5,77.2,0.51,95,6.7,Rainy
2024-07-13,91.6,71.2,0.24,48,4.6,Rain Showers
2024-07-14,96.0,75.3,0.14,28,1.3,Rain Showers
2024-07-15,87.3,68.6,0.17,34,5.9,Rain Showers
2024-07-16,97.8,74.8,0.0,3,4.9,Sunny
2024-07-17,88.7,70.0,0.0,9,1.6,Sunny
2024-07-18,96.8,82.1,0.0,12,4.8,Sunny
2024-07-19,101.0,71.7,0.0,6,2.7,Sunny
2024-07-20,74.6,69.6,0.55,95,7.3,Rainy
2024-07-21,84.9,75.7,0.61,95,8.3,Rainy
2024-07-22,91.7,70.3,0.12,24,11.6,Rain Showers
2024-07-23,96.6,76.3,0.61,95,8.5,Rainy
2024-07-24,102.0,84.6,0.07,14,2.0,Drizzle
2024-07-25,101.4,59.6,0.48,95,8.5,Rain Showers
2024-07-26,88.2,80.2,0.25,50,11.5,Rain Showers
2024-07-27,86.0,69.7,0.0,12,2.6,Sunny
2024-07-28,103.8,71.4,0.0,14,3.5,Sunny
2024-07-29,78.9,73.9,0.0,0,4.1,Overcast
2024-07-30,89.7,72.8,0.2,40,4.3,Rain Showers
2024-07-31,85.7,66.3,0.0,8,7.2,Overcast
2024-08-01,83.5,69.7,0.15,30,6.2,Rain Showers
2024-08-02,90.4,65.7,0.0,0,5.0,Overcast
2024-08-03,85.9,72.1,0.0,8,9.1,Partly Cloudy
2024-08-04,93.9,73.0,0.0,6,9.6,Overcast
2024-08-05,85.3,74.3,0.0,14,12.4,Overcast
2024-08-06,91.8,81.9,0.0,6,3.4,Sunny
2024-08-07,85.3,68.2,0.01,2,6.3,Drizzle
2024-08-08,79.8,74.8,0.0,12,6.0,Partly Cloudy
2024-08-09,83.7,69.7,0.0,12,1.5,Partly Cloudy
2024-08-10,91.7,76.2,0.0,2,15.8,Overcast
2024-08-11,91.4,63.2,0.0,1,12.5,Partly Cloudy
2024-08-12,98.2,73.2,0.0,2,3.8,Overcast
2024-08-13,79.5,74.5,0.0,7,10.6,Sunny
2024-08-14,100.6,63.3,0.0,5,1.0,Sunny
2024-08-15,91.6,62.7,0.0,7,6.3,Sunny
2024-08-16,101.7,75.4,0.32,64,3.9,Rain Showers
2024-08-17,77.6,72.6,0.0,14,11.1,Sunny
2024-08-18,89.5,64.6,0.0,10,1.8,Overcast
2024-08-19,86.0,64.5,0.0,11,2.0,Sunny
2024-08-20,97.5,70.6,0.0,12,5.6,Partly Cloudy
2024-08-21,91.7,69.4,0.31,62,5.1,Rain Showers
2024-08-22,84.6,68.3,0.03,6,11.6,Drizzle
2024-08-23,94.4,68.6,0.0,8,1.0,Sunny
2024-08-24,95.4,72.7,0.0,3,12.8,Partly Cloudy
2024-08-25,88.0,67.3,0.39,78,8.0,Rain Showers
2024-08-26,85.8,68.0,0.0,1,6.2,Sunny
2024-08-27,88.8,75.8,0.0,7,7.4,Sunny
2024-08-28,93.3,71.7,0.0,1,1.0,Partly Cloudy
2024-08-29,95.6,70.7,0.0,12,7.5,Overcast
2024-08-30,84.8,69.4,0.0,1,6.2,Overcast
2024-08-31,94.4,74.6,0.0,7,8.4,Overcast
2024-09-01,89.9,58.3,0.0,2,11.0,Partly Cloudy
2024-09-02,97.2,60.0,0.0,11,1.0,Sunny
2024-09-03,83.3,63.8,0.31,62,7.5,Rain Showers
2024-09-04,94.3,68.1,0.0,12,7.7,Overcast
2024-09-05,74.9,57.3,0.0,6,14.5,Partly Cloudy
2024-09-06,88.1,68.0,0.0,6,10.1,Sunny
2024-09-07,89.4,64.2,0.93,95,3.9,Rainy
2024-09-08,93.7,64.5,0.05,10,3.3,Drizzle
2024-09-09,86.2,76.7,0.0,9,14.9,Overcast
2024-09-10,89.9,72.6,0.0,8,9.8,Sunny
2024-09-11,75.6,65.3,0.0,0,5.8,Overcast
2024-09-12,76.7,57.0,0.0,6,8.8,Partly Cloudy
2024-09-13,79.8,70.8,0.0,9,15.1,Sunny
2024-09-14,85.9,67.5,0.0,7,3.6,Overcast
2024-09-15,85.2,72.5,0.0,6,9.6,Sunny
2024-09-16,86.2,61.6,0.0,1,8.3,Partly Cloudy
2024-09-17,79.9,62.1,0.0,4,3.6,Partly Cloudy
2024-09-18,84.0,71.1,0.0,13,12.4,Sunny
2024-09-19,79.2,65.8,0.1,20,12.5,Drizzle
2024-09-20,89.5,55.7,0.0,7,1.6,Sunny
2024-09-21,87.0,73.1,0.0,10,5.8,Sunny
2024-09-22,75.9,70.8,0.0,11,2.8,Overcast
2024-09-23,78.6,68.5,0.0,12,8.9,Overcast
2024-09-24,97.8,58.2,0.14,28,6.9,Rain Showers
2024-09-25,69.3,61.9,0.0,14,7.8,Sunny
2024-09-26,85.6,65.8,0.18,36,3.3,Rain Showers
2024-09-27,77.9,71.2,0.0,4,4.2,Overcast
2024-09-28,80.8,69.3,0.0,3,9.8,Partly Cloudy
2024-09-29,77.8,66.1,0.0,1,9.0,Sunny
2024-09-30,87.1,61.6,0.0,8,4.0,Sunny
2024-10-01,60.1,54.5,0.0,2,9.2,Sunny
2024-10-02,90.5,53.8,0.0,11,12.2,Sunny
2024-10-03,69.9,57.8,0.0,3,9.7,Overcast
2024-10-04,77.2,49.3,0.05,10,10.9,Drizzle
2024-10-05,78.0,52.6,0.0,0,10.7,Partly Cloudy
2024-10-06,61.8,56.8,0.21,42,9.7,Rain Showers
2024-10-07,65.5,50.5,0.0,11,8.2,Sunny
2024-10-08,76.7,52.3,0.0,5,2.1,Sunny
2024-10-09,61.4,56.4,0.0,13,6.3,Partly Cloudy
2024-10-10,68.8,49.2,0.11,22,6.8,Rain Showers
2024-10-11,75.1,48.9,0.21,42,3.4,Rain Showers
2024-10-12,79.4,54.5,0.0,3,14.9,Sunny
2024-10-13,85.0,46.7,0.0,12,4.0,Partly Cloudy
2024-10-14,72.5,49.1,0.09,18,1.0,Drizzle
2024-10-15,69.2,54.0,0.0,2,8.0,Sunny
2024-10-16,77.1,56.1,0.0,4,4.1,Sunny
2024-10-17,64.6,51.8,0.0,3,1.1,Partly Cloudy
2024-10-18,69.9,50.5,0.0,0,11.1,Sunny
2024-10-19,76.3,52.8,0.0,11,9.0,Sunny
2024-10-20,71.8,54.9,0.0,5,9.5,Sunny
2024-10-21,82.1,59.8,0.22,44,9.4,Rain Showers
2024-10-22,68.3,62.1,0.03,6,8.4,Drizzle
2024-10-23,70.4,52.9,0.0,10,4.0,Drizzle
2024-10-24,66.2,48.9,0.0,5,11.6,Partly Cloudy
2024-10-25,67.5,56.4,0.03,6,9.8,Drizzle
2024-10-26,82.2,45.7,0.29,57,6.5,Rain Showers
2024-10-27,77.5,58.1,0.0,14,12.4,Sunny
2024-10-28,85.6,63.8,0.01,2,9.3,Drizzle
2024-10-29,74.6,47.5,0.14,28,1.5,Rain Showers
2024-10-30,79.8,49.4,0.0,2,5.7,Partly Cloudy
2024-10-31,75.2,56.1,0.0,12,7.5,Overcast
2024-11-01,65.0,43.9,0.02,4,13.8,Drizzle
2024-11-02,70.9,38.0,0.0,4,7.4,Partly Cloudy
2024-11-03,65.2,46.1,0.21,42,10.7,Rain Showers
2024-11-04,66.5,45.6,0.0,2,3.3,Partly Cloudy
2024-11-05,63.5,47.0,0.0,9,9.6,Sunny
2024-11-06,61.5,37.7,0.0,6,14.0,Sunny
2024-11-07,65.8,49.7,0.0,3,11.8,Partly Cloudy
2024-11-08,52.9,36.5,0.11,22,6.5,Rain Showers
2024-11-09,48.3,43.3,0.0,4,10.0,Sunny
2024-11-10,60.1,36.1,0.0,4,14.4,Overcast
2024-11-11,63.6,49.7,0.0,1,15.0,Partly Cloudy
2024-11-12,74.2,49.8,0.12,24,6.0,Rain Showers
2024-11-13,65.7,47.3,0.0,3,11.5,Sunny
2024-11-14,43.6,38.6,0.12,24,6.5,Rain Showers
2024-11-15,62.1,44.4,0.0,11,4.9,Overcast
2024-11-16,56.8,39.3,0.0,14,10.6,Partly Cloudy
2024-11-17,56.4,40.1,0.0,8,12.3,Partly Cloudy
2024-11-18,65.5,42.2,0.36,72,14.1,Rain Showers
2024-11-19,74.7,44.1,0.0,2,9.6,Sunny
2024-11-20,70.2,41.0,0.0,4,8.4,Sunny
2024-11-21,72.7,46.5,0.7,95,13.3,Rainy
2024-11-22,63.7,42.7,0.02,4,7.6,Drizzle
2024-11-23,60.6,45.6,0.0,7,8.5,Sunny
2024-11-24,62.3,41.0,0.09,18,8.3,Drizzle
2024-11-25,65.6,46.6,0.0,11,6.6,Overcast
2024-11-26,64.2,41.2,0.29,57,3.2,Rain Showers
2024-11-27,68.5,47.4,0.08,16,6.8,Drizzle
2024-11-28,65.5,50.4,0.64,95,12.5,Rainy
2024-11-29,60.4,44.7,0.0,4,12.8,Overcast
2024-11-30,55.2,44.8,0.0,8,9.2,Partly Cloudy
2024-12-01,56.4,32.0,0.35,70,14.4,Rain Showers
2024-12-02,56.6,35.2,0.16,32,13.8,Rain Showers
2024-12-03,55.5,45.9,0.56,95,12.3,Rainy
2024-12-04,46.3,33.9,0.0,11,14.4,Sunny
2024-12-05,52.2,35.1,0.0,2,7.3,Partly Cloudy
2024-12-06,49.6,38.0,0.05,10,13.0,Drizzle
2024-12-07,48.6,27.8,0.0,11,9.8,Overcast
2024-12-08,65.1,36.9,0.0,11,8.7,Partly Cloudy
2024-12-09,49.1,34.1,0.32,64,19.1,Rain Showers
2024-12-10,51.0,40.7,0.0,7,9.8,Overcast
2024-12-11,43.9,38.9,0.11,22,7.4,Rain Showers
2024-12-12,46.0,37.7,0.0,1,15.6,Partly Cloudy
2024-12-13,41.2,36.2,0.0,7,8.2,Sunny
2024-12-14,71.8,35.9,0.14,28,11.8,Rain Showers
2024-12-15,58.0,40.0,0.0,8,7.6,Overcast
2024-12-16,54.2,42.1,0.0,5,6.3,Sunny
2024-12-17,57.0,36.9,0.01,2,7.2,Drizzle
2024-12-18,50.5,37.8,0.0,5,5.7,Overcast
2024-12-19,46.9,41.9,0.19,38,10.6,Rain Showers
2024-12-20,52.8,41.5,0.0,9,8.0,Partly Cloudy
2024-12-21,60.9,32.7,0.38,76,8.6,Rain Showers
2024-12-22,60.0,34.2,0.0,5,6.1,Sunny
2024-12-23,68.1,39.0,0.0,0,11.4,Sunny
2024-12-24,56.6,31.0,0.35,70,8.3,Rain Showers
2024-12-25,57.7,32.5,0.0,8,11.8,Partly Cloudy
2024-12-26,49.8,28.9,0.43,86,13.9,Rain Showers
2024-12-27,50.4,34.0,0.0,14,10.4,Sunny
2024-12-28,56.9,33.8,0.0,5,9.1,Partly Cloudy
2024-12-29,47.2,32.1,0.16,32,5.5,Rain Showers
2024-12-30,53.3,42.1,0.16,32,10.7,Rain Showers
2024-12-31,49.1,39.2,0.0,8,11.0,Partly Cloudy
2025-01-01,58.2,30.4,0.62,95,11.5,Rainy
2025-01-02,47.5,28.4,0.0,7,10.8,Drizzle
2025-01-03,57.8,30.2,0.08,16,12.5,Drizzle
2025-01-04,62.7,31.2,1.35,95,12.9,Rainy
2025-01-05,55.9,44.3,0.0,13,5.6,Sunny
2025-01-06,48.5,33.4,0.53,95,14.0,Rainy
2025-01-07,45.5,34.2,0.72,95,13.4,Rainy
2025-01-08,55.5,33.9,0.0,11,13.5,Sunny
2025-01-09,51.5,37.4,0.13,26,9.5,Rain Showers
2025-01-10,49.5,32.6,0.0,6,12.4,Partly Cloudy
2025-01-11,45.2,33.2,0.0,1,11.8,Partly Cloudy
2025-01-12,53.0,34.8,0.16,32,10.4,Rain Showers
2025-01-13,52.7,30.7,0.0,12,3.0,Sunny
2025-01-14,41.3,26.0,0.0,7,10.3,Sunny
2025-01-15,58.7,44.8,0.0,0,11.4,Sunny
2025-01-16,54.0,38.4,0.0,10,8.8,Partly Cloudy
2025-01-17,47.9,37.3,0.0,6,11.1,Partly Cloudy
2025-01-18,58.9,42.5,0.0,13,10.3,Sunny
2025-01-19,49.4,27.4,0.0,12,7.0,Overcast
2025-01-20,57.8,37.6,0.0,7,8.9,Overcast
2025-01-21,57.7,35.7,0.62,95,13.0,Rainy
2025-01-22,43.6,35.9,0.27,54,13.8,Rain Showers
2025-01-23,58.4,33.6,0.0,12,8.9,Sunny
2025-01-24,62.5,27.5,0.0,1,14.7,Sunny
2025-01-25,49.9,31.4,0.0,13,14.3,Partly Cloudy
2025-01-26,52.8,24.5,0.0,9,8.6,Partly Cloudy
2025-01-27,50.8,25.6,0.0,3,13.6,Sunny
2025-01-28,49.7,27.0,0.47,94,13.3,Rain Showers
2025-01-29,61.7,31.7,0.0,7,10.1,Overcast
2025-01-30,57.7,31.6,0.0,1,10.3,Partly Cloudy
2025-01-31,50.2,26.9,0.66,95,7.6,Rainy
2025-02-01,54.0,37.2,0.0,14,10.5,Sunny
2025-02-02,60.1,43.6,0.56,95,14.7,Rainy
2025-02-03,57.8,44.6,0.05,10,17.1,Drizzle
2025-02-04,57.2,39.1,0.03,6,5.7,Drizzle
2025-02-05,46.8,32.8,0.0,9,9.7,Sunny
2025-02-06,61.9,35.3,0.0,12,10.7,Overcast
2025-02-07,60.1,36.9,0.0,4,12.2,Sunny
2025-02-08,55.5,43.1,0.09,18,7.2,Drizzle
2025-02-09,50.9,37.3,0.0,7,12.5,Partly Cloudy
2025-02-10,53.3,39.8,0.0,7,7.9,Partly Cloudy
2025-02-11,48.6,30.9,0.0,0,12.5,Sunny
2025-02-12,60.7,38.4,0.27,54,5.9,Rain Showers
2025-02-13,65.0,34.3,0.0,4,10.9,Partly Cloudy
2025-02-14,52.3,41.4,0.0,11,10.6,Overcast
2025-02-15,48.8,42.6,0.0,5,10.8,Sunny
2025-02-16,75.7,41.8,0.0,0,10.3,Partly Cloudy
2025-02-17,61.7,43.0,0.0,12,10.0,Partly Cloudy
2025-02-18,58.1,37.0,0.0,7,6.8,Drizzle
2025-02-19,63.7,40.0,0.0,1,2.2,Overcast
2025-02-20,70.7,35.8,0.0,11,9.8,Partly Cloudy
2025-02-21,51.8,33.9,0.95,95,13.6,Rainy
2025-02-22,63.7,39.6,0.0,0,13.2,Drizzle
2025-02-23,60.6,37.9,0.0,6,11.4,Sunny
2025-02-24,51.3,36.9,0.0,2,10.4,Sunny
2025-02-25,53.2,42.5,0.0,2,16.6,Sunny
2025-02-26,43.7,38.1,0.21,42,13.0,Rain Showers
2025-02-27,63.6,29.0,0.1,20,8.7,Drizzle
2025-02-28,62.8,36.0,0.19,38,12.9,Rain Showers
2025-03-01,56.3,43.3,0.0,5,12.3,Partly Cloudy
2025-03-02,69.2,38.8,0.0,3,12.2,Partly Cloudy
2025-03-03,74.0,37.5,0.0,7,13.8,Overcast
2025-03-04,68.7,34.3,0.75,95,9.4,Rainy
2025-03-05,75.9,45.8,0.15,30,13.9,Rain Showers
2025-03-06,69.9,47.7,0.0,5,8.6,Overcast
2025-03-07,82.1,47.1,0.03,6,8.9,Drizzle
2025-03-08,55.6,38.9,0.0,12,12.3,Sunny
2025-03-09,66.4,33.6,0.0,0,7.9,Partly Cloudy
2025-03-10,64.5,52.9,0.0,12,13.1,Partly Cloudy
2025-03-11,59.3,40.1,0.34,68,9.0,Rain Showers
2025-03-12,80.7,40.9,0.0,8,4.2,Sunny
2025-03-13,64.8,38.0,0.0,8,11.3,Overcast
2025-03-14,73.6,41.4,0.0,7,10.4,Sunny
2025-03-15,79.7,48.7,0.0,8,13.2,Sunny
2025-03-16,67.6,38.5,0.0,7,7.9,Sunny
2025-03-17,76.5,55.3,0.01,2,8.5,Drizzle
2025-03-18,72.0,45.6,0.0,12,12.4,Partly Cloudy
